b'<s> so there is no way for me to plug it in here in the us unless i go by a converter <\\s>',b'So there is no way for me to plug it in here in the US unless I go by a converter.'
b'<s> good case excellent value <\\s>',"b'Good case, Excellent value.'"
b'<s> tied to charger for conversations lasting more than 45 minutes major problems <\\s>',b'Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!'
b'<s> the mic is great <\\s>',b'The mic is great.'
b'<s> i have to jiggle the plug to get it to line up right to get decent volume <\\s>',b'I have to jiggle the plug to get it to line up right to get decent volume.'
b'<s> if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one <\\s>',"b'If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.'"
b'<s> if you are razr owner you must have this <\\s>',b'If you are Razr owner...you must have this!'
b'<s> needless to say i wasted my money <\\s>',"b'Needless to say, I wasted my money.'"
b'<s> what a waste of money and time <\\s>',b'What a waste of money and time!.'
b'<s> he was very impressed when going from the original battery to the extended battery <\\s>',b'He was very impressed when going from the original battery to the extended battery.'
b'<s> if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset <\\s>',b'If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.'
b'<s> very good quality though <\\s>',b'Very good quality though'
b'<s> the design is very odd as the ear clip is not very comfortable at all <\\s>',"b'The design is very odd, as the ear clip is not very comfortable at all.'"
b'<s> highly recommend for any one who has a blue tooth phone <\\s>',b'Highly recommend for any one who has a blue tooth phone.'
b'<s> i advise everyone do not be fooled <\\s>',b'I advise EVERYONE DO NOT BE FOOLED!'
b'<s> works great <\\s>',b'Works great!.'
b'<s> it clicks into place in a way that makes you wonder how long that mechanism would last <\\s>',b'It clicks into place in a way that makes you wonder how long that mechanism would last.'
b'<s> i went on motorola website and followed all directions but could not get it to pair again <\\s>',"b""I went on Motorola's website and followed all directions, but could not get it to pair again."""
b'<s> i bought this to use with my kindle fire and absolutely loved it <\\s>',b'I bought this to use with my Kindle Fire and absolutely loved it!'
b'<s> the commercials are the most misleading <\\s>',b'The commercials are the most misleading.'
b'<s> i have yet to run this new battery below two bars and that three days without charging <\\s>',"b""I have yet to run this new battery below two bars and that's three days without charging."""
b'<s> i bought it for my mother and she had a problem with the battery <\\s>',b'I bought it for my mother and she had a problem with the battery.'
b'<s> great pocket pc phone combination <\\s>',b'Great Pocket PC / phone combination.'
b'<s> ive owned this phone for 7 months now and can say that it the best mobile phone ive had <\\s>',"b""I've owned this phone for 7 months now and can say that it's the best mobile phone I've had."""
b'<s> i didnt think that the instructions provided were helpful to me <\\s>',"b""I didn't think that the instructions provided were helpful to me."""
b'<s> people couldnt hear me talk and i had to pull out the earphone and talk on the phone <\\s>',b'People couldnt hear me talk and I had to pull out the earphone and talk on the phone.'
b'<s> doesnt hold charge <\\s>',"b""Doesn't hold charge."""
b'<s> this is a simple little phone to use but the breakage is unacceptible <\\s>',"b'This is a simple little phone to use, but the breakage is unacceptible.'"
b'<s> this product is ideal for people like me whose ears are very sensitive <\\s>',b'This product is ideal for people like me whose ears are very sensitive.'
